Date,Close,Volume,Open,High,Low
2017-11-15,79700,449990,79700,79700,78500
2017-11-14,80000,491250,79900,80600,78500
2017-11-13,79500,678800,76800,79500,76300
2017-11-10,76800,522740,76800,77100,76000
2017-11-09,76800,545450,76000,77000,75800
2017-11-08,76600,693240,74900,77000,74900
2017-11-07,74700,649940,76200,76400,74700
2017-11-06,75000,499030,74000,75500,73800
2017-11-03,73500,571850,72600,73500,72400
2017-11-02,72600,735730,73300,73800,71800
2017-11-01,73000,838420,72700,73300,72000
2017-10-31,71500,927460,72900,73900,71500
2017-10-30,72900,2168000,70200,73800,70200
2017-10-27,69300,273010,68600,69300,67900
2017-10-26,68600,519670,69700,69900,68500
2017-10-25,69800,455400,69600,70200,69200
2017-10-24,69700,704810,67800,69700,67500
2017-10-23,68100,626330,68100,71000,68100
2017-10-20,70700,642160,70000,71800,70000
2017-10-19,70300,634880,69500,70700,69500
2017-10-18,69500,617790,69500,70900,69000
2017-10-17,69400,310840,69500,69800,68900
2017-10-16,69400,549810,70200,71000,69200
2017-10-13,70000,1256910,68500,70300,68500
2017-10-12,68900,718730,68500,69200,68000
2017-10-11,68200,580150,67800,68500,67700
2017-10-10,67100,692210,67500,67500,66900
2017-10-09,67500,375540,67600,68500,67200
2017-10-06,67800,527450,68000,68000,67600
2017-10-05,68000,864180,69500,69700,68000
2017-10-04,69500,440790,68800,69500,68200
2017-10-03,68800,267850,69500,69600,68400
2017-10-02,69500,442170,69100,70200,69100
2017-09-29,69100,348210,70100,70700,69100
2017-09-28,70700,497770,70200,71500,70200
2017-09-27,70700,526360,69400,71000,69100
2017-09-26,69500,633130,68800,70000,68800
2017-09-25,68500,125620,68500,68800,68000
2017-09-22,68500,405840,67500,68900,67500
2017-09-21,68000,300880,67200,68000,66700
2017-09-20,67800,593650,67000,67800,66100
2017-09-19,67800,725660,68500,68600,67600
2017-09-18,68400,430400,68900,68900,67900
2017-09-15,68500,450920,69000,69300,68000
2017-09-14,69000,935560,67000,71200,67000
2017-09-13,66600,401930,66200,67000,66000
2017-09-12,66000,551400,65600,66200,65400
2017-09-11,66000,726030,67300,67300,65500
2017-09-08,67300,1176330,66400,68100,66400
2017-09-07,66400,1045650,65099,67600,65000
2017-09-06,65099,557740,64900,65700,64700
2017-09-05,64700,604870,63700,65500,63500
2017-09-01,63500,755320,62900,64200,62900
2017-08-31,62600,222080,62600,62900,62000
2017-08-30,62600,285860,62700,63000,62000
2017-08-29,62600,293560,62500,63000,62100
2017-08-28,63000,582890,61400,63100,61400
2017-08-25,61400,189640,61400,62200,61300
2017-08-24,61400,239980,61000,61900,61000
2017-08-23,61000,105000,60700,61000,60600
2017-08-22,60700,253080,61100,61300,60600
2017-08-21,61100,126800,61000,61500,60900
2017-08-18,60900,155160,60100,61200,60100
2017-08-17,61000,169350,61600,62300,61000
2017-08-16,62300,187980,60900,62300,60500
2017-08-15,60800,294210,61900,61900,60700
2017-08-14,61800,149840,61300,62000,61000
2017-08-11,61300,498850,62700,63500,61100
2017-08-10,63000,272390,63100,63700,62500
2017-08-09,63400,458730,64099,64500,62500
2017-08-08,64500,516540,64500,65000,64000
2017-08-07,64099,635240,63000,64800,62600
2017-08-04,63000,576960,63800,63800,62900
2017-08-03,63800,465420,63300,64200,63200
2017-08-02,63800,580980,63600,64599,62800
